Title,Authors
Incorporating Latent Meanings of Morphological Compositions to Enhance Word Embeddings,"Yang Xu, Jiawei Liu, Wei Yang and Liusheng Huang"
Extracting Relational Facts by an End-to-End Neural Model with Copy Mechanism,"Xiangrong Zeng, Daojian Zeng, Shizhu He, Kang Liu and Jun Zhao"
Sequicity: Simplifying Task-oriented Dialogue Systems with Single Sequence-to-Sequence Architectures,"Wenqiang Lei, Xisen Jin, Min-Yen Kan, Zhaochun Ren, Xiangnan He and Dawei Yin"
End-to-End Reinforcement Learning for Automatic Taxonomy Induction,"Yuning Mao, Xiang Ren, Jiaming Shen, Xiaotao Gu and Jiawei Han"
Multi-Turn Response Selection for Chatbots with Deep Attention Matching Network,"Xiangyang Zhou, Lu Li, Daxiang Dong, Yi Liu, Ying Chen, Wayne Xin Zhao, Dianhai Yu and Hua Wu"
StructVAE: Tree-structured Latent Variable Models for Semi-supervised Semantic Parsing,"Pengcheng Yin, Chunting Zhou, Junxian He and Graham Neubig"
Bridging Languages through Images with Deep Partial Canonical Correlation Analysis,"Guy Rotman, Ivan Vulić and Roi Reichart"
Supervised Treebank Conversion: Data and Approaches,"Xinzhou Jiang, Zhenghua Li, Bo Zhang, Min Zhang, Sheng Li and Luo Si"
Learning to Ask Questions in Open-domain Conversational Systems with Typed Decoders,"Yansen Wang, Chenyi Liu, Minlie Huang and Liqiang Nie"
Recursive Neural Structural Correspondence Network for Cross-domain Aspect and Opinion Co-Extraction,Wenya Wang and Sinno Jialin Pan
Unsupervised Neural Machine Translation with Weight Sharing,"Zhen Yang, Wei Chen, Feng Wang and Bo Xu"
Triangular Architecture for Rare Language Translation,"Shuo Ren, Wenhu Chen, Shujie Liu, Mu Li, Ming Zhou and Shuai Ma"
Sequence-to-Action: End-to-End Semantic Graph Generation for Semantic Parsing,"Bo Chen, Le Sun and Xianpei Han"
A Deep Relevance Model for Zero-Shot Document Filtering,"Chenliang Li, Yu Duan, Wei Zhou, Feng Ji and Haiqing Chen"
Batch IS NOT Heavy: Learning Word Embeddings From All Samples,"Xin Xin, Fajie YUAN, Xiangnan He and Joemon Jose"
Subword Regularization: Improving Neural Network Translation Models with Multiple Subword Candidates,Taku Kudo
Universal Language Model Fine-tuning for Text Classification,Jeremy Howard and Sebastian Ruder
Interactive Language Acquisition with One-shot Visual Concept Learning through a Conversational Game,"Haichao Zhang, Haonan Yu and Wei Xu"
Self-regulation: Employing a Generative Adversarial Network to Improve Event Detection,"Yu Hong, Wenxuan Zhou, jingli zhang, Guodong Zhou and Qiaoming Zhu"
Improving Knowledge Graph Embedding Using Simple Constraints,"Boyang Ding, Quan Wang, Bin Wang and Li Guo"
Taylor's law for Human Linguistic Sequences,Tatsuru Kobayashi and Kumiko Tanaka-Ishii
A Structured Variational Autoencoder for Morphological Inflection,"Ryan Cotterell, Jason Naradowsky, Sebastian J. Mielke and Lawrence Wolf-Sonkin"
Strong Baselines for Neural Semi-supervised Learning under Domain Shift,Sebastian Ruder and Barbara Plank
