Title,Authors
Simplified Abugidas,"Chenchen Ding, Masao Utiyama and Eiichiro Sumita"
The Influence of Context on Sentence Acceptability Judgements,"Jean-Philippe Bernardy, Shalom Lappin and Jey Han Lau"
Automated essay scoring with string kernels and word embeddings,"Madalina Cozma, Andrei Butnaru and Radu Tudor Ionescu"
Neural Open Information Extraction,"Lei Cui, Furu Wei and Ming Zhou"
Predicting accuracy on large datasets from smaller pilot data,"Mark Johnson, Peter Anderson, Mark Dras and Mark Steedman"
Learning Matching Models with Weak Supervision for Response Selection in Retrieval-based Chatbots,"Yu Wu, wei wu, Zhoujun Li and Ming Zhou"
Continuous Learning in a Hierarchical Multiscale Neural Network,"Thomas Wolf, Julien Chaumond and Clement Delangue"
Hybrid semi-Markov CRF for Neural Sequence Labeling,Zhixiu Ye and Zhen-Hua Ling
A Named Entity Recognition Shootout for German,Martin Riedl and Sebastian Padó
Dynamic and Static Topic Model for Analyzing Time-Series Document Collections,"Rem Hida, Naoya Takeishi, Takehisa Yairi and Koichi Hori"
Paper Abstract Writing through Rewriting Mechanism,"Qingyun Wang, Zhihao Zhou, Lifu Huang, Spencer Whitehead, Boliang Zhang, Heng Ji and Kevin Knight"
A dataset for identifying actionable feedback in collaborative software development,"Benjamin S Meyers, Nuthan Munaiah, Emily Prud'hommeaux, Andrew Meneely, Josephine Wolff, Cecilia Ovesdotter Alm and Pradeep Murukannaiah"
SNAG: Spoken Narratives and Gaze Dataset,"Preethi Vaidyanathan, Emily T. Prud'hommeaux, Jeff B. Pelz and Cecilia O. Alm"
Cross-Target Stance Classification with Self-Attention Networks,"Chang Xu, Cecile Paris, Surya Nepal and Ross Sparks"
Document Embedding Enhanced Event Detection with Hierarchical and Supervised Attention,"Yue Zhao, Xiaolong Jin, Yuanzhuo Wang and Xueqi Cheng"
Neural Hidden Markov Model for Machine Translation,"Weiyue Wang, Derui Zhu, Tamer Alkhouli, Zixuan Gan and Hermann Ney"
Diacritization of Maghrebi Arabic Sub-Dialects,"Ahmed Abdelali, Mohammed Attia, Younes Samih, Kareem Darwish and Hamdy Mubarak"
Using pseudo-senses for improving the extraction of synonyms from word embeddings,Olivier Ferret
Analogical Reasoning on Chinese Morphological and Semantic Relations,"Shen Li, Zhe Zhao, Renfen Hu, Wensi Li, Tao Liu and Xiaoyong Du"
Breaking NLI Systems with Sentences that Require Simple Lexical Inferences,"Max Glockner, Vered Shwartz and Yoav Goldberg"
