Submission ID	Title	WorkshopURL	Authors
11	NEWS 2018: The Seventh Named Entities Workshop	http://workshop.colips.org/news2018/	Nancy Chen, Xiangyu Duan, Rafael E. Banchs, Min Zhang and Haizhou Li
18	BioNLP 2018	https://aclweb.org/aclwiki/BioNLP_Workshop	Kevin Cohen, Dina Demner-Fushman, Sophia Ananiadou and Jun'ichi Tsujii
20	Workshop for NLP Open Source Software (NLP-OSS)	https://nlposs.github.io/	Masato Hagiwara, Dmitrijs Milajevs, Eunjeong Park and Liling Tan
25	Workshop on Machine Reading for Question Answering	https://mrqa2018.github.io	Eunsol Choi, Minjoon Seo, Danqi Chen, Robin Jia and Jonathan Berant
30	The 2nd Workshop on Neural Machine Translation and Generation (NMT2018)		Alexandra Birch, Andrew Finch, Minh-Thang Luong, Graham Neubig and Yusuke Oda
37	COGNITIVE ASPECTS OF COMPUTATIONAL LANGUAGE LEARNING AND PROCESSING	https://sites.google.com/view/cognitivews2018/home	Marco Idiart, Alessandro Lenci, Thierry Poibeau and Aline Villavicencio
40	Workshop on Relevance of Linguistic Structure in Neural Architectures for NLP	https://sites.google.com/view/relsnnlp	Georgiana Dinu, Miguel Ballesteros, Yoav Goldberg, Avirup Sil, Tahira Naseem, Samuel Bowman, Wael Hamza, Anders Sogaard and Radu Florian
41	3rd Workshop on Representation Learning for NLP (RepL4NLP-2018)	https://sites.google.com/site/repl4nlp2018	Isabelle Augenstein, Kris Cao, He He, Felix Hill, Spandana Gella, Jamie Ryan Kiros, Hongyuan Mei and Dipendra Misra
44	ECONLP 2018 - 1st Workshop on Economics and Natural Language Processing	http://www.julielab.de/econlp2018.html	Udo Hahn and Ming-Feng Tsai
48	Third Workshop on Computational Approaches to Linguistic Code-Switching	https://code-switching.github.io/2018/	Fahad AlGhamdi, Gustavo Aguilar, Victor Soto, Thamar Solorio, Mona Diab and Julia Hirschberg
49	Advancing Artificial Intelligence Understanding of Human Multimodal Language	http://multicomp.cs.cmu.edu/multimodalacl2018	AmirAli Bagher Zadeh, Louis-Philippe Morency, Soujanya Poria, Erik Cambria, Stefan Scherer and Paul Liang
50	Deep Learning Approaches for Low Resource Natural Language Processing	https://sites.google.com/site/dlnlplr18/home	Colin Cherry, George Foster, Gholamreza Haffari and Shahram Khadivi
54	Sixth International Workshop on Natural Language Processing for Social Media (SocialNLP 2018)	https://sites.google.com/site/socialnlp2017/	Lun-Wei Ku and Cheng-Te Li
56	Multilingual Surface Realization: Shared Task and Beyond (MSR-WS)	http://taln.upf.edu/pages/msr2018-ws/	Simon Mille, Bernd Bohnet, Leo Wanner, Anja Belz and Emily Pitler
57	The 5th Workshop on Natural Language Processing Techniques for Educational Applications (NLPTEA 2018)	http://www.sigcall.org/	Yuen-Hsien Tseng, Hsin-Hsi Chen, Vincent Ng and Mamoru Komachi
